#{"t_start": 1530088248.4430509, "gym_version": "0.9.7", "env_id": 1}
r,l,t
-55.382223,10,14352.20123
-13.659765,10,14354.941199
-17.933185,10,14432.402462
-17.101514,10,14432.490545
2.825716,4,14435.299545
-33.036791,10,14521.806735
-23.35993,10,14600.944789
-22.553854,10,14677.296836
-10.193582,10,14677.340851
2.066745,3,14677.376877
-16.505984,10,14682.88886
-14.664902,10,14688.489883
-12.049051,10,14764.838789
-15.120131,10,14773.388935
-13.37989,10,14776.164931
-19.514375,10,14849.707185
-9.908028,10,14940.086224
-9.512831,10,14942.880233
-19.970835,10,14945.719273
-11.26735,10,14948.500272
-11.446327,10,14954.114308
-6.73441,10,14956.954348
-13.545194,10,15031.657271
-24.43633,10,15042.95039
-15.388173,10,15048.59747
-34.645875,10,15131.673167
-15.038652,10,15218.01854
-34.841102,10,15226.482604
-15.43329,10,15306.559713
-47.677969,10,15312.298837
-12.380068,10,15398.233657
-17.474377,10,15401.191783
-12.842728,10,15487.732069
-10.070366,10,15493.515226
-12.841633,10,15496.354266
-15.898613,10,15502.108419
-14.985946,10,15502.152435
-24.428225,10,15580.083651
-17.487728,10,15594.392939
-15.084326,10,15594.438972
-24.600607,10,15683.771268
-16.150801,10,15771.416307
-9.790596,10,15859.434774
-18.465493,10,15962.330757
-19.257745,10,16062.508109
-11.238308,10,16139.281295
2.493759,4,16151.124809
-13.415143,10,16154.039904
-12.90903,10,16233.924675
-12.605584,10,16333.593423
-75.64901,10,16336.522022
-34.403574,10,16506.980215
-17.207154,10,16512.952477
-51.028104,10,16522.016428
-11.308854,10,16524.988051
-15.26871,10,16525.033076
-7.134045,10,16609.04873
-14.58316,10,16614.999609
-81.473687,10,16621.103608
4.718619,6,16709.418467
-27.183445,10,16712.395423
-11.700185,10,16715.386358
-13.633654,10,16796.432888
-22.571068,10,16796.477917
-16.131204,10,16802.600927
0.952469,1,16894.624427
-18.942185,10,16897.681448
-32.739681,10,16903.864528
-27.546067,10,16998.183562
-15.823613,10,17093.416273
-18.043087,10,17176.058118
-11.000719,10,17182.199414
-17.126127,10,17188.286696
-13.0015,10,17194.391962
-29.937242,10,17286.287435
-16.296049,10,17301.654365
-34.960195,10,17388.77843
-17.199124,10,17391.870633
-13.999793,10,17394.920805
-10.673374,10,17397.975982
-15.734405,10,17485.032104
-68.094822,10,17488.079271
-42.506873,10,17491.142454
-12.207587,10,17581.293853
-19.344799,10,17584.440095
-15.714079,10,17587.49629
-8.517126,10,17689.087744
-9.430543,10,17692.139919
-8.846778,10,17781.573747
-14.334639,10,17788.042335
-25.005104,10,17788.086368
-19.915644,10,17870.941828
-14.460111,10,17883.310736
-9.076366,10,17970.361358
-44.893874,10,17976.641872
-10.212862,10,17986.003603
-11.810657,10,18067.94664
-17.348823,10,18071.112917
-26.240509,10,18071.203982
-25.752239,10,18071.250015
-142.331568,10,18071.295069
-22.189957,10,18074.473352
-26.347295,10,18168.804241
-11.573801,10,18171.906472
-14.692778,10,18171.998539
-25.327487,10,18269.346632
-23.460148,10,18272.519916
-14.369832,10,18365.742945
-30.137916,10,18372.028443
-44.466213,10,18378.328972
-34.821608,10,18475.629915
-12.248278,10,18562.142344
-9.568246,10,18565.369668
-11.429935,10,18571.640172
-14.363874,10,18577.972741
-21.273589,10,18668.816118
-11.550964,10,18681.53126
-42.077078,10,18770.349332
-15.989294,10,18870.391245
-8.367793,10,18876.774834
-47.112887,10,18980.152284
-11.904685,10,18996.051714
-24.63342,10,18999.247011
-52.213566,10,19083.204426
-39.509743,10,19089.597022
-7.798195,10,19092.782311
3.304874,5,19188.700261
-18.376949,10,19198.552342
-20.597802,10,19289.390936
-10.664445,10,19298.983814
-19.167815,10,19386.538976
-14.240704,10,19386.585009
-11.001435,10,19386.630041
-11.747134,10,19386.675074
-42.037976,10,19393.297834
-10.1298,10,19483.962194
-60.860512,10,19484.007225
-15.349248,10,19585.627436
-37.057657,10,19687.66694
-13.312852,10,19790.029685
-9.403294,10,19884.391594
-18.26297,10,19884.527692
-9.13836,10,19984.2844
-25.084846,10,19990.805087
-15.966633,10,19994.121471
-29.25612,10,20086.072799
-22.123739,10,20099.16621
-13.114896,10,20102.43456
-19.126012,10,20105.701908
-10.626768,10,20108.985286
-34.692387,10,20205.040316
-9.142232,10,20307.052737
-8.313153,10,20323.610643
